original_tweet,sentiment_result
pagi pagi nemu berita ini bohong lagi siap divaksin peama tapi nik jkw tidak terdaftar sebagai penerima vaksin ru ,-4
semoga teman terdekat amp keluarga yg terkonfirmasi positif covid lekas allah berikan kesembuhan ,16
fokus penyampaian maklumat kempen putuskan rantaian covid pelaksanaan perintah kawalan pergerakan bersyarat pkpb ,-2
jkw jalan th batas sdh diatur dirubah jd th jg nggk jaminan itu vaksin asli pence pelosi dll tok ,-1
netizen heboh nik jokowi tak masuk penerima vaksin tahap peama kompas tv yg setuju jokowi divaksin peama komen s ,1
assalamu alaikum warahmatullahi wabarakatuh saya andi pembuat aplikasi al qur an indonesia ingin meminta do a para saha ,-2
kalau beritanya begini pasti banyak pria yg tidak sabar ingin segera disuntik vaksin covid efek untuk wanita katanya masi ,14.0
netizen heboh nik jokowi tak masuk penerima vaksin corona tahap peama ,0
sebelum riuh ada berita yang menyatakan orang israel terinfeksi covid beberapa hari setelah divaksinasi pfize ,-2
medan selera bandar sri permaisuri fokus penyampaian maklumat kempen putuskan rantaian covid pelaksanaan perint ,-3
vaksin mengandungi aluminium ,0
pelssy saya gak mau di vaksin titik ,-3
biasakan membaca berita sampai selesai amp jgn terprovokasi judul berita ini menyampaikan broadcast wa ttg kandungan boraks ,4
dpp fbbi berbagi sembako kepada para anggota terdampak covid ,-1
gini mbaaaa x kamu akan mendapatkan vaksin intinya gitu tapi sepengetahuanku doi kerja buka salon tapi lulusan keperawatan se,2
mulai dari dokter perawat hingga satpam rumah sakit ,-2
anda merupakan kes positif covid yang berada di rumah ikuti langkah pencegahan berikut bagi memutuskan rantaian jangkitan ,15
dosis vaksin sinovac tiba di jateng senin vaksin itu akan segera disuntikkan kepda para tenaga kesehatan yg ,3
berbicara di depan bos imf dan perwakilan pbb sri mulyani tak sungkan untuk menceritakan bagaimana menteri sosial jul ,3
karimun bermasker polsek buru polres karimun melaksanakan sosialisasi perbup karimun no tahun dalam rangka penerapan protokol kesahatan kepda masyarakat guna mencegah penyebaran covid menuju adaptasi kebiasaan baru ,-5
ib pelepasan vaksin covid ke provinsi dari bio farma bandung vaksin untuk nakes lawan pamdemi ,1
bersaing dengan kasus covid ,0
netizen yg terhormat berikut adalah update layanan covid di rs universitas indonesia silakan di save retweet dan share ,4
karena terkatung filipina nekad melakukan vaksinasi tanpa persetujuan dulu anggota kabinet filipina dan tentara filipina ,-6
mudah mudahan yang ini biofarma ada jawabannya data bulan post vaksin seharusnya sdh ada dan dipublish pending publish data malah bisa jadi fitnah baru turki dan brasil sudah publish hasil padahal lebih duluan di bandung uji klinisnya dibanding turki ,-3
harapan agar vaksin covid segera disuntikkan mulai mendekati kenyataan bio farma menyebut vaksin sinovac sudah mulai didi ,3
tetapi kemudian filipina meminta vaksin dari sinopharm sinopharm bilang ada pilihan filipina lakukan uji klinis dulu dg ,6
semoga covid segera pergi ,1
aku pernah di persekusi keluarga sendiri karena status hiv dan aku seorang gay sea kehilangan pekerjaan karena coivid ,3
pengadaan vaksin di filipina terhambat karena sikap plin plan dari pejabat filipina di bulan mei sinopharm menawarkan fili ,-5
selamat pagi kalau kalian lagi nyari alesan untuk misuh misuh ini dia sebuah pengingat bhw vaksin oxford astrazeneca dili ,4
jagalah selalu kebersihan lingkungan untuk mencegah penyebaran covid lingkungan bersih jiwa pun sehat ,8
tim unpad hasil uji vaksin sinovac diumumkan bpom januari ,0
jubir vaksin covid pt bio farma pastikan program vaksinasi covid berjalan baik ,3
titik balik yang menentukan untuk memperkuat pearungan yang penuh semangat pemberian persetujuan dcgi vaksin amp mempercepat jalan menuju negara yang lebih sehat dan bebas covid selamat india amp kepada para ilmuwan dan inovator pekerja keras kami ,14
amerika syarikat catat lebih juta kes positif covid ,12
hudhi apakah jlan nya cuma vaksin dok ,4
deje seremoni pelepasan pengiriman vaksin covid perdana ke provinsi pendistribusian vaksin akan dikontrol sistem digital ,-9
blusukan risma di awal menjabat sebagai mensos dianggap membuang waktu saat penyaluran bansos covid masih banyak masalah ,-4
kriting vaksin masih beberapa bulan lagi harus tetap jaga kesehatan ya salah satunya dengan tetap bahagia agar imun tubuh kuat ,7.0
anggota dpr bambang suryadi meninggal dunia akibat covid ,-5
bon two pelssy memaksakan kehendak atas nama the greater good yg mereka tentukan sendiri apapun alasannya mau darurat ,6
bentar tuntasin rekomendasi mccc utk vaksin dan muktamar ipm dulu ,4
saham sektor teknologi dan kesihatan akan terus menjadi industri yang menjadi tumpuan pada minggu ini ,2
kalau direview amp ditelaah untuk aku amp mas deka aktivitas tentang pekerjaan lah yg paling tinggi resiko terpapar covid dibanding liburan pekerjaan ngantor indoor urus angkringan mau gak mau ke pasar interaksi sama banyak orang ,24.0
sekitar brickfields fokus penyampaian maklumat kempen putuskan rantaian covid pelaksanaan perintah kawalan perg ,-2
vaksin covid selamat tiada kesan sampingan jangka panjang mosti ,9
tapi positif covid tak patut lah kita anggap macam penjenayah bukan nya nampak virus tu kalau nampak faham lah,6
sayangi keluarga anda pakailah masker cegah penularan covid ,6
indonesia menjadi berita di bbrp media dunia setelah memulai distribusi vaksin secara nasional perbedaan waktu antara dimu ,0
covid gelombang ketiga menyapa pks kembali tenat bagi sebarang persoalan anda boleh menghubungi irdina ,-1
polsek karangpucung cilacap guna mencegah penyebaran virus covid dan keteiban penerapan prokes polsek karangpucung melaksanakan rutinitas razia masker kepada pengguna kendaraan masyarakat umum di wil karangpucung senin ,-7
juru bicara vaksin covid memastikan bahwa penerima peama vaksin yaitu presiden joko widodo ,2
bambang pastikan program vaksinasi covid berjalan dengan baik alhamdulillah ,8
seremoni pelepasan pengiriman vaksin covid perdana ke provinsi pendistribusian vaksin akan dikontrol sistem digital untuk untuk memastikan diterima oleh pihak yg tepat dalam tiap tahapan vaksinasi bersama lawan pandemi ,-11
mengingat banyak berita tentang bahaya vaksin corona aku sekeluarga berhak menolak untuk di vaksin di jamin oleh uu kesehatan tahun pasal ayat ,-24
peresmian pengiriman perdana vaksin covid ke propinsi semoga semua berjalan lancar dan kesembuhan sea kekebalan untuk ,-1
lebih baik dibikin poster pengetahuan tentang apa saja yg diharapkan dari vaksin efek samping yg diharapkan dan juga dije ,3
hoza shule zinakaribia kufunguliwa na jambo kumbwa ni maandalizi ikiwa ni pamoja na kuaanda fikra za watoto na wasiojiweza kujiki ,0
siap siap di vaksin botol bakalan bengkak itu lengan kaya mr popeye ,-2
dalam kondisi kedaruratan dharurah sya iyah atau kebutuhan mendesak haajah sya iyah penggunaan human diploid cell ,1
hudhi apa sih untungnya edgy gini menghina genre musik laen yg lg viral menghina film menghina edukasi vaksin intinya yg main ,4
imam besar masjid istiqlal prof nasaruddin umar menuturkan tidak ada alasan masyarakat menolak vaksinasi co ,0
fahnoor official semua syarat dan seketat apapun belum bisa sampai yang terlibat dalam lingkungan sekolah belum dapat vaksin karena presentase kedisplinan anak sangat rendah ,2.0
ingatkan sandiaga uno faisal basri jangan bicara pariwisata dulu sebelum covid dibereskan ,0
ez phlv makin curiga ada apa dgn vaksin ini ,1
pemerintah sangat terbantu oleh peran massif muhammadiyah tangani covid ,0.0
covid lebih juta kes positif seluruh dunia ,10
pembangunan jalan terus meski terhambat pandemi covid ,-9
jepun baru sahaja menigisytiharkan darurat di tokyo dan kawasan berhampiran kerana peningkatan kes covid ,6
pergerakan hari taburan kes mengikut daerah di malaysia dis hingga jan seluruh selangor da ,0
